\5115 Butler St, Pittsburgh, PA 15201, USA\,40.4788739,-79.9556425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1701 Duncan Ave, Allison Park, PA 15101, USA\,40.5673753,-79.9994328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\135 9th St, Pittsburgh, PA 15222, USA\,40.4442033,-79.9983438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\5455 Curry Rd, Pittsburgh, PA 15236, USA\,40.337159,-79.9912092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1372 Freeport Rd, Pittsburgh, PA 15238, USA\,40.4895782,-79.8723566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\944 Greensburg Pike, Pittsburgh, PA 15221, USA\,40.4445473,-79.8604245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\6229 Saltsburg Rd, Pittsburgh, PA 15235, USA\,40.4843559,-79.8159614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\3304 Saw Mill Run Blvd, Brentwood, PA 15227, USA\,40.3753532,-79.9833533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\690 Chauvet Dr, Pittsburgh, PA 15275, USA\,40.445952,-80.1807909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1835 Washington Rd, Upper St Clair, PA 15241, USA\,40.3452316,-80.0563137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\8950 Covenant Ave, Pittsburgh, PA 15237, USA\,40.5696377,-80.0231316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1928 Monongahela Ave, Pittsburgh, PA 15218, USA\,40.421034,-79.890146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\403 Semple St, Pittsburgh, PA 15213, USA\,40.4370188,-79.9548448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\819 E 2nd Ave, Brackenridge, PA 15014, USA\,40.604242,-79.74427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\845 E 1st Ave, Brackenridge, PA 15014, USA\,40.6028847,-79.7423071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\428 N State St, Clairton, PA 15025, USA\,40.308402,-79.8885362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1500 Washington Rd, Pittsburgh, PA 15228, USA\,40.3569591,-80.0518073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\211 Summit Park Dr, Pittsburgh, PA 15275, USA\,40.4485228,-80.1806074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4976 McKnight Rd, Pittsburgh, PA 15237, USA\,40.5313255,-80.0092614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1413 Potomac Ave, Pittsburgh, PA 15216, USA\,40.3952987,-80.034823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\3315 Liberty Ave, Pittsburgh, PA 15201, USA\,40.461509,-79.9678598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\801 E Carson St, Pittsburgh, PA 15203, USA\,40.428858,-79.990906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4104 Penn Ave, Pittsburgh, PA 15224, USA\,40.465505,-79.9547632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1025 Broad St, North Versailles, PA 15137, USA\,40.374158,-79.79728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\5920 Steubenville Pike, McKees Rocks, PA 15136, USA\,40.448866,-80.142405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\806 Brookline Blvd, Pittsburgh, PA 15226, USA\,40.3933485,-80.0199874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\136 Old Beaver Grade Rd, Coraopolis, PA 15108, USA\,40.466277,-80.1533505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\530 E Bruceton Rd, Pittsburgh, PA 15236, USA\,40.328073,-79.946763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
