Name	Address	Lat	Long
Capital Grille #8031	301 5th Avenue Pittsburgh, PA 15222	40.4409188	-79.9996159
Cappy&#39;s Cafe	5431 Walnut St Pittsburgh, PA 15232	40.45109	-79.9343681
Capri Pizzeria &amp; Bar	6001 Penn Ave Pittsburgh, PA 15206	40.4616502	-79.9245395
Carbonara&#39;s Ristorante	250 Mt Lebanon  Boulevard Pittsburgh, PA 15234		
Carl&#39;s Tavern	3386 Wm Penn Hwy Pittsburgh, PA 15235		
Carline Cafe	109 California Avenue Pittsburgh, PA 15202	40.503677	-80.073663
Carmella&#39;s Plates &amp; Pints	1908 Carson Street Pittsburgh, PA 15203	40.4283832	-79.9787151
Carmody&#39;s Grille 	4905 Grand Avenue Pittsburgh, PA 15225	40.5100272	-80.1253252
Carnegie Museum Cafe	4400 Forbes  Avenue Pittsburgh, PA 15213		
Carnivores	215 Allegheny Avenue Oakmont, PA 15139	40.514488	-79.844005
Carol&#39;s Cafe	840 Monongahela Ave Glassport, PA 15045	40.32129	-79.892703
Carriage Inn	1601 Lovedale  Road Elizabeth, PA 15037	40.2848843	-79.8439134
Carsalas Bar &amp; Grill	5633 Homeville Rd West Mifflin, PA 15122	40.3679844	-79.8715022
Carson City Saloon	1401 Carson Street Pittsburgh, PA 15203	40.440933	-80.0200186
Carson Street Deli	1507 Carson Street Pittsburgh, PA 15203	40.4290442	-79.9830861
Casa D&#39;Ice	1901 Lincoln Hwy North Versailles, PA 15137	40.368084	-79.777527
Casa Reyna	2031 Penn Avenue Pittsburgh, PA 15222	40.4517093	-79.9834519
Casbah	229 Highland  Avenue Pittsburgh, PA 15206	40.4709118	-79.9823198
Casey&#39;s Draft House	1811 E Carson  Street Pittsburgh, PA 15203	40.4289435	-79.9799804
Casey&#39;s Family Restaurant	3008 Wm Flynn Hwy Allison Park, PA 15101		
Castle Tavern	6347 Library Road Library, PA 15129	40.2910489	-80.0284334
Cattivo	146 44th St Pittsburgh, PA 15201	40.4725156	-79.9616872
Cavo	1916 Smallman Street Pittsburgh, PA 15222	40.4515309	-79.9849774
Cefalo&#39;s Restaurant &amp; Night Club	428 Washington Ave Carnegie, PA 15106	40.408103	-80.0840807
Celebrations &amp; More	8110 Steubenville Pike Imperial, PA 15126	40.4365774	-80.2542519
Cenci&#39;s Pizzeria &amp; Restaurant	11530 Perry Highway Wexford, PA 15090	40.6254324	-80.0537093
Center Tavern	7934 Saltsburg Rd Pittsburgh, PA 15239	40.477936	-79.758163
Central Diner &amp; Grill	6408 Steubenville Pike Pittsburgh, PA 15205	40.4487237	-80.1567788
Century Square Luxury Cinemas	2001 Mountain View Drive Pittsburgh, PA 15222		
Cestone&#39;s Pizza	200 Virginia Ave Pittsburgh, PA 15211	40.4307986	-80.009588
Champs Sports Bar &amp; Grill	200 10th Street Pittsburgh, PA 15215	40.4444512	-79.9956459
Champs Sports Grill &amp; Lounge	540 Rodi Road Pittsburgh, PA 15235	40.450745	-79.827163
Chan&#39;s Tea House	1009 West View Park Dr Pittsburgh, PA 15229	40.5160448	-80.0378082
Characters 	2622 Brownsville Road Pittsburgh, PA 15227	40.3847335	-79.9782652
Charlie Murdochs	1005 E Carson St Pittsburgh, PA 15203	40.4288847	-79.9881612
Chartiers Country Club 10th Tee	601 Baldwin Road Pittsburgh, PA 15205	40.4347538	-80.0929763
Chartiers Country Club Clubhouse	601 Baldwin Road Pittsburgh, PA 15205	40.4347538	-80.0929763
Chaz &amp; Odette	5102 Baum  Boulevard Pittsburgh, PA 15224	40.4553023	-79.9436172
Cheerleaders	3100 Liberty Ave Pittsburgh, PA 15201	40.4587804	-79.9707046
Cheers	7082 Lemington Ave Pittsburgh, PA 15206	40.46913	-79.896713
Chelsea Grille	515 Allegheny Avenue Oakmont, PA 15139	40.5181162	-79.8434868
Chic&#39;s Place	879 Forest Ave Homestead, PA 15120		
